iter	Passed	Remaining
0	0	74
1	1	81
2	3	107
3	4	113
4	5	107
5	6	103
6	8	112
7	9	107
8	9	100
9	10	94
10	11	89
11	11	85
12	12	81
13	12	78
14	13	78
15	15	80
16	30	147
17	32	146
18	36	155
19	38	155
20	39	149
21	40	145
22	41	140
23	43	137
24	44	134
25	45	129
26	46	125
27	47	121
28	49	120
29	50	117
30	51	114
31	52	110
32	53	108
33	58	113
34	59	111
35	66	117
36	68	115
37	75	123
38	77	121
39	79	119
40	80	115
41	81	112
42	82	108
43	82	105
44	83	102
45	87	102
46	87	99
47	88	96
48	89	93
49	90	90
50	91	87
51	101	93
52	102	91
53	103	88
54	104	85
55	105	82
56	106	80
57	120	86
58	120	83
59	121	80
60	121	77
61	122	74
62	123	72
63	124	70
64	125	67
65	127	65
66	128	63
67	128	60
68	129	58
69	130	56
70	132	53
71	133	51
72	134	49
73	135	47
74	136	45
75	137	43
76	139	41
77	140	39
78	146	38
79	146	36
80	147	34
81	149	32
82	149	30
83	150	28
84	153	27
85	154	25
86	156	23
87	156	21
88	158	19
89	159	17
90	160	15
91	161	14
92	162	12
93	163	10
94	164	8
95	164	6
96	166	5
97	167	3
98	168	1
99	169	0
