iter	Passed	Remaining
0	67	67494
1	68	33987
2	68	22815
3	69	17223
4	69	13876
5	70	11637
6	70	10039
7	72	8944
8	72	8034
9	73	7290
10	74	6719
11	77	6348
12	77	5899
13	78	5510
14	83	5489
15	84	5175
16	84	4897
17	85	4648
18	85	4426
19	86	4225
20	87	4056
21	87	3893
22	88	3742
23	88	3604
24	89	3496
25	90	3393
26	92	3350
27	93	3245
28	94	3159
29	95	3080
30	96	3008
31	96	2930
32	97	2864
33	98	2793
34	98	2725
35	99	2661
36	99	2599
37	101	2562
38	105	2589
39	106	2546
40	106	2499
41	107	2448
42	108	2406
43	108	2360
44	109	2321
45	110	2281
46	110	2241
47	111	2202
48	111	2165
49	112	2130
50	112	2096
51	113	2063
52	113	2031
53	114	2001
54	114	1972
55	115	1947
56	116	1920
57	119	1936
58	120	1923
59	121	1898
60	121	1873
61	122	1848
62	122	1825
63	123	1802
64	123	1781
65	124	1759
66	124	1738
67	125	1723
68	131	1780
69	133	1776
70	134	1757
71	139	1794
72	140	1779
73	140	1759
74	141	1740
75	141	1722
76	147	1765
77	148	1753
78	149	1738
79	149	1722
80	150	1705
81	150	1688
82	151	1668
83	151	1653
84	155	1669
85	158	1685
86	159	1673
87	160	1663
88	162	1663
89	163	1653
90	165	1657
91	167	1648
92	167	1637
93	168	1627
94	169	1617
95	170	1607
96	171	1594
97	171	1582
98	172	1569
99	173	1557
100	176	1572
101	179	1576
102	179	1564
103	180	1551
104	180	1539
105	181	1527
106	181	1516
107	182	1504
108	182	1493
109	183	1482
110	183	1471
111	184	1460
112	184	1450
113	185	1439
114	185	1429
115	186	1419
116	186	1408
117	187	1399
118	187	1389
119	188	1381
120	189	1378
121	191	1381
122	193	1378
123	193	1369
124	194	1360
125	194	1352
126	195	1342
127	196	1335
128	197	1330
129	197	1323
130	198	1316
131	198	1308
132	199	1300
133	200	1295
134	201	1290
135	202	1284
136	205	1297
137	206	1292
138	207	1287
139	208	1282
140	209	1277
141	210	1269
142	210	1261
143	211	1254
144	211	1247
145	212	1240
146	212	1234
147	213	1227
148	213	1220
149	214	1214
150	214	1207
151	215	1201
152	216	1198
153	219	1205
